ID,Nome,Sexo,Idade,Estado,Email,Telefone,Saldo
96,Usuario 096,F,61,RS,usuario096@email.com,+5511910000096,25000.00
97,Usuario 097,M,62,BA,usuario097@email.com,+5511910000097,25250.00
98,Usuario 098,F,63,GO,usuario098@email.com,+5511910000098,25500.00
99,Usuario 099,M,64,PE,usuario099@email.com,+5511910000099,25750.00
100,Usuario 100,F,65,ES,usuario100@email.com,+5511910000100,26000.00
101,Usuario 101,M,66,SP,usuario101@email.com,+5511910000101,26250.00
102,Usuario 102,F,67,RJ,usuario102@email.com,+5511910000102,26500.00
103,Usuario 103,M,68,MG,usuario103@email.com,+5511910000103,26750.00
104,Usuario 104,F,69,PR,usuario104@email.com,+5511910000104,27000.00
105,Usuario 105,M,70,SC,usuario105@email.com,+5511910000105,27250.00
